episode, timestep, reward
1,256,1.3768
3,512,1.2628
5,768,1.3979
7,1024,1.6063
9,1280,1.3504
11,1536,1.6271
13,1792,0.9324
15,2048,1.265
17,2304,1.2048
19,2560,1.4651
21,2816,1.3001
