episode, timestep, reward
1,256,14.7132
3,512,16.3064
5,768,7.0967
7,1024,8.7001
9,1280,16.8484
11,1536,17.8881
13,1792,22.2199
15,2048,16.5829
17,2304,15.998
19,2560,20.9283
21,2816,17.7759
23,3072,19.8419
25,3328,22.5676
